timestamp,elapsed-time,elapsed-seconds,inserts,overall-ips,total-documents,this-interval-ips,this-interval-latency-ms,last-10-intervals-ips,last-10-intervals-latency-ms
2025-09-11T08:14:47.750Z,00:21:00.90,1260.90,1178000,934.25,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:14:57.755Z,00:21:10.91,1270.91,1178000,926.90,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:15:07.762Z,00:21:20.91,1280.91,1178000,919.66,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:15:17.765Z,00:21:30.92,1290.92,1178000,912.53,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:15:27.768Z,00:21:40.92,1300.92,1178000,905.51,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:15:37.771Z,00:21:50.92,1310.92,1178000,898.60,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:15:47.774Z,00:22:00.93,1320.93,1178000,891.80,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:15:57.777Z,00:22:10.93,1330.93,1178000,885.10,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:16:07.780Z,00:22:20.93,1340.93,1178000,878.49,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:16:17.783Z,00:22:30.94,1350.94,1178000,871.99,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:16:27.786Z,00:22:40.94,1360.94,1178000,865.58,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:16:37.788Z,00:22:50.94,1370.94,1178000,859.26,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:16:47.791Z,00:23:00.94,1380.94,1178000,853.04,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:16:57.793Z,00:23:10.95,1390.95,1178000,846.91,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:17:07.799Z,00:23:20.95,1400.95,1178000,840.86,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:17:17.808Z,00:23:30.96,1410.96,1178000,834.89,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:17:27.811Z,00:23:40.96,1420.96,1178000,829.01,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:17:37.814Z,00:23:50.97,1430.97,1178000,823.22,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:17:47.818Z,00:24:00.97,1440.97,1178000,817.50,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:17:57.822Z,00:24:10.97,1450.97,1178000,811.87,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:18:07.824Z,00:24:20.98,1460.98,1178000,806.31,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:18:17.827Z,00:24:30.98,1470.98,1178000,800.83,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:18:27.828Z,00:24:40.98,1480.98,1178000,795.42,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:18:37.831Z,00:24:50.98,1490.98,1178000,790.08,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:18:47.835Z,00:25:00.99,1500.99,1178000,784.82,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:18:57.838Z,00:25:10.99,1510.99,1178000,779.62,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:19:07.841Z,00:25:20.99,1520.99,1178000,774.49,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:19:17.843Z,00:25:31.00,1531.00,1178000,769.43,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:19:27.847Z,00:25:41.00,1541.00,1178000,764.44,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:19:37.850Z,00:25:51.00,1551.00,1178000,759.51,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:19:47.853Z,00:26:01.00,1561.00,1178000,754.64,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:19:57.855Z,00:26:11.01,1571.01,1178000,749.84,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:20:07.859Z,00:26:21.01,1581.01,1178000,745.09,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:20:17.861Z,00:26:31.01,1591.01,1178000,740.41,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:20:27.865Z,00:26:41.02,1601.02,1178000,735.78,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:20:37.869Z,00:26:51.02,1611.02,1178000,731.21,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:20:47.871Z,00:27:01.02,1621.02,1178000,726.70,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:20:57.873Z,00:27:11.03,1631.03,1178000,722.24,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:21:07.876Z,00:27:21.03,1641.03,1178000,717.84,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:21:17.880Z,00:27:31.03,1651.03,1178000,713.49,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:21:27.886Z,00:27:41.04,1661.04,1178000,709.19,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:21:37.889Z,00:27:51.04,1671.04,1178000,704.95,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:21:47.893Z,00:28:01.05,1681.05,1178000,700.75,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:21:57.896Z,00:28:11.05,1691.05,1178000,696.61,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:22:07.902Z,00:28:21.05,1701.05,1178000,692.51,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:22:17.905Z,00:28:31.06,1711.06,1178000,688.46,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:22:27.907Z,00:28:41.06,1721.06,1178000,684.46,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:22:37.910Z,00:28:51.06,1731.06,1178000,680.51,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:22:47.912Z,00:29:01.07,1741.07,1178000,676.60,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:22:57.916Z,00:29:11.07,1751.07,1178000,672.73,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:23:07.918Z,00:29:21.07,1761.07,1178000,668.91,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:23:17.921Z,00:29:31.07,1771.07,1178000,665.13,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:23:27.924Z,00:29:41.08,1781.08,1178000,661.40,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:23:37.927Z,00:29:51.08,1791.08,1178000,657.70,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:23:47.929Z,00:30:01.08,1801.08,1178000,654.05,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:23:57.931Z,00:30:11.08,1811.08,1178000,650.44,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:24:07.933Z,00:30:21.09,1821.09,1178000,646.87,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:24:17.935Z,00:30:31.09,1831.09,1178000,643.33,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:24:27.938Z,00:30:41.09,1841.09,1178000,639.84,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:24:37.941Z,00:30:51.09,1851.09,1178000,636.38,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:24:47.944Z,00:31:01.10,1861.10,1178000,632.96,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:24:57.946Z,00:31:11.10,1871.10,1178000,629.58,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:25:07.949Z,00:31:21.10,1881.10,1178000,626.23,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:25:17.953Z,00:31:31.11,1891.11,1178000,622.92,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:25:27.959Z,00:31:41.11,1901.11,1178000,619.64,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:25:37.961Z,00:31:51.11,1911.11,1178000,616.39,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:25:47.964Z,00:32:01.12,1921.12,1178000,613.19,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:25:57.967Z,00:32:11.12,1931.12,1178000,610.01,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:26:07.970Z,00:32:21.12,1941.12,1178000,606.87,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:26:17.972Z,00:32:31.12,1951.12,1178000,603.75,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:26:27.974Z,00:32:41.13,1961.13,1178000,600.68,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:26:37.976Z,00:32:51.13,1971.13,1178000,597.63,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:26:47.980Z,00:33:01.13,1981.13,1178000,594.61,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:26:57.983Z,00:33:11.14,1991.14,1178000,591.62,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:27:07.985Z,00:33:21.14,2001.14,1178000,588.67,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:27:17.987Z,00:33:31.14,2011.14,1178000,585.74,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:27:27.990Z,00:33:41.14,2021.14,1178000,582.84,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:27:37.992Z,00:33:51.14,2031.14,1178000,579.97,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:27:47.995Z,00:34:01.15,2041.15,1178000,577.13,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:27:57.998Z,00:34:11.15,2051.15,1178000,574.31,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:28:08.000Z,00:34:21.15,2061.15,1178000,571.52,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:28:18.003Z,00:34:31.16,2071.16,1178000,568.76,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:28:28.009Z,00:34:41.16,2081.16,1178000,566.03,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:28:38.012Z,00:34:51.16,2091.16,1178000,563.32,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:28:48.017Z,00:35:01.17,2101.17,1178000,560.64,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:28:58.020Z,00:35:11.17,2111.17,1178000,557.98,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:29:08.026Z,00:35:21.18,2121.18,1178000,555.35,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:29:18.028Z,00:35:31.18,2131.18,1178000,552.75,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:29:28.031Z,00:35:41.18,2141.18,1178000,550.16,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:29:38.044Z,00:35:51.20,2151.20,1178000,547.60,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:29:48.047Z,00:36:01.20,2161.20,1178000,545.07,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:29:58.053Z,00:36:11.21,2171.21,1178000,542.56,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:30:08.055Z,00:36:21.21,2181.21,1178000,540.07,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:30:18.058Z,00:36:31.21,2191.21,1178000,537.60,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:30:28.061Z,00:36:41.21,2201.21,1178000,535.16,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:30:38.064Z,00:36:51.22,2211.22,1178000,532.74,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:30:48.066Z,00:37:01.22,2221.22,1178000,530.34,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:30:58.069Z,00:37:11.22,2231.22,1178000,527.96,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:31:08.075Z,00:37:21.23,2241.23,1178000,525.60,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:31:18.078Z,00:37:31.23,2251.23,1178000,523.27,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:31:28.083Z,00:37:41.23,2261.23,1178000,520.95,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:31:38.091Z,00:37:51.24,2271.24,1178000,518.66,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:31:48.098Z,00:38:01.25,2281.25,1178000,516.38,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:31:58.105Z,00:38:11.26,2291.26,1178000,514.13,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:32:08.111Z,00:38:21.26,2301.26,1178000,511.89,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:32:18.117Z,00:38:31.27,2311.27,1178000,509.68,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:32:28.121Z,00:38:41.27,2321.27,1178000,507.48,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:32:38.123Z,00:38:51.28,2331.28,1178000,505.30,1178000,0.00,0.00,0.00,0.00
