timestamp,elapsed-time,elapsed-seconds,inserts,overall-ips,total-documents,this-interval-ips,this-interval-latency-ms,last-10-intervals-ips,last-10-intervals-latency-ms
2025-09-18T09:28:22.742Z,00:14:30.92,870.92,1252000,1437.57,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:28:32.745Z,00:14:40.92,880.92,1252000,1421.24,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:28:42.747Z,00:14:50.92,890.92,1252000,1405.29,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:28:52.750Z,00:15:00.92,900.92,1252000,1389.68,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:29:02.753Z,00:15:10.93,910.93,1252000,1374.42,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:29:12.756Z,00:15:20.93,920.93,1252000,1359.50,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:29:22.760Z,00:15:30.93,930.93,1252000,1344.89,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:29:32.766Z,00:15:40.94,940.94,1252000,1330.59,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:29:42.771Z,00:15:50.95,950.95,1252000,1316.58,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:29:52.775Z,00:16:00.95,960.95,1252000,1302.88,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:30:02.777Z,00:16:10.95,970.95,1252000,1289.46,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:30:12.781Z,00:16:20.96,980.96,1252000,1276.31,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:30:22.784Z,00:16:30.96,990.96,1252000,1263.42,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:30:32.787Z,00:16:40.96,1000.96,1252000,1250.80,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:30:42.790Z,00:16:50.96,1010.96,1252000,1238.42,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:30:52.793Z,00:17:00.97,1020.97,1252000,1226.29,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:31:02.795Z,00:17:10.97,1030.97,1252000,1214.39,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:31:12.798Z,00:17:20.97,1040.97,1252000,1202.72,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:31:22.802Z,00:17:30.98,1050.98,1252000,1191.27,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:31:32.804Z,00:17:40.98,1060.98,1252000,1180.04,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:31:42.807Z,00:17:50.98,1070.98,1252000,1169.02,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:31:52.809Z,00:18:00.98,1080.98,1252000,1158.20,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:32:02.813Z,00:18:10.99,1090.99,1252000,1147.58,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:32:12.819Z,00:18:20.99,1100.99,1252000,1137.16,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:32:22.824Z,00:18:31.00,1111.00,1252000,1126.91,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:32:32.830Z,00:18:41.00,1121.00,1252000,1116.86,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:32:42.833Z,00:18:51.01,1131.01,1252000,1106.98,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:32:52.835Z,00:19:01.01,1141.01,1252000,1097.27,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:33:02.839Z,00:19:11.01,1151.01,1252000,1087.74,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:33:12.842Z,00:19:21.02,1161.02,1252000,1078.37,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:33:22.847Z,00:19:31.02,1171.02,1252000,1069.15,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:33:32.859Z,00:19:41.03,1181.03,1252000,1060.09,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:33:42.863Z,00:19:51.04,1191.04,1252000,1051.18,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:33:52.865Z,00:20:01.04,1201.04,1252000,1042.43,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:34:02.869Z,00:20:11.04,1211.04,1252000,1033.82,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:34:12.873Z,00:20:21.05,1221.05,1252000,1025.35,1252000,0.00,0.00,0.00,0.00
